"","lyrics"
"1268","go heart yearn cold keep burn eye weep gotta cause suppose days long night madness sadness torment despair refuse pass suppose catch romance lose hopeless affair slave kiss free away yesterday come haunt lose teach woman right tear suppose slave kiss free away yesterday come haunt lose teach woman right tear suppose suppose"
"1269","ordinary try work life plan unto like unto ordinary try work life plan unto like unto lonely soul soon bekindacomes goal feel better tell philosophy want till life live mirth give sky blue send smile want till sky blue send smile want till"
"1270","crush sweetie night time sign notion fall emotion care cunning cottage share world pardon mush cause crush baby million ralish millionairs carish capture persistence wear resistance fell swell brave handsome shall know attractive heart grow active come view crush sweetie nighttime sigh notion fall emotion care cunning cottage share world pardon mush cause crush baby"
"1271","high slowmotion world reach touch half note float world spin orbit quicker brubeck come frantically search rainbow villages suddenly mingus abdulmalik base bottomless insecurity plastic meditate glass universe coltrane cosmic strain vocal blueblack horizons plasticity test formless assault answer question tune sacrifice jazzage mindexpanding puzzle enter blow morning scream brainbending saxophones thirdworld arrive yusef lateef pharaoh oboes strain touch core unknown soul shankar come string attach prepare stabilize seven sin black rhythm silly ladder note word word important mind note soul cannonball fiddler flight byrd play cristo word like survive sadness happiness drift smokey medley redding soul music frustrations wash drum congo mongo beat senseless bongo tonto flash dreamworlds speed kill music frustrate black confuse speed life fast good escape live hear real come tell tear white"
"1272","seward taxis houston steamships biograph picture wiltons specials paris balloon phonograph cylinders ready play camera shutter internal combustion phone uncle shorhambysea cross atlantic thursday jump trolley home seward vienna chap call freud sure useless chain madmen get better result talk cure winchester repeaters gonna watch back bolt action hotchkiss give crack come modern world wonderful modern world fashion think hello modern world breathtaking modern world today speed daimler afraid time replace steam yacht earthly excuse go slow delight hear progressive note feel vote come modern world wonderful modern world fashion think hello modern world breathtaking modern world today"
"1273","care go away fair free fall fool thrill say goodbye sorry apart break heart interlude laugh goodbye heart epitaph sorry apart break heart"
"1274","world string sittin rainbow string finger world life song sing rain anytime finger life beautiful thing long hold string silly world string sittin rainbow string finger world life life beautiful thing long hold string silly world string sittin rainbow string finger world life"
"1275","little blue say word start sing spring spring little blue start ring ting ting little blue clock middle work sing song moon nature simply tell fall bird be educate fleas fall spain best upper set lithuanians fall dutch amsterdam mention fin folks siam think siamese twin argentines mean people boston bean fall sponge oyster oyster fall cold cape clam wish lazy jellyfish fall electric eels shock know shad bring bring shad come bring bring shad shallow shoal english sole goldfish privacy bowl fall bird be tree monkey bird be water quarrel baby fall little blue say word start sing spring spring little blue"
"1276","song end linger song go linger night splendid summer pass away happiness neath light moon sing song end soon moon descend break song go linger linger song go linger summer pass away happiness neath light moon sing song end end soon moon descend break song go linger linger"
"1277","different world today hotter yesterday somethin different world today think everybody feelin universal truths stain greed power fear sadness strangers eye somethins happen lose time step view populations fear talk youths hand reachin walk away walk away gettin bowel city gettin push think pretty know say know high check time believe racism extinct brothers bein shoot lyin dead streets somethin different world today inconvenient truth stay somethin different world today runnin place kid safely play late feel steal know real pain feel right say gettin lock reggae sound droppin bass line gonna turn frown right upside music make come dancin gettin bowel city gettin push think pretty know say know high check time believe racism extinct brothers bein shoot lyin dead streets somethin different world today somethin different world today"
